title,score,genres,consensus
The Diary Of A Teenage Girl,93,,"Boldly unconventional and refreshingly honest,  Diary of a Teenage Girl  is a frank coming-of-age story that addresses its themes -- and its protagonist -- without judgment."
The Salt of the Earth,95,,"While the work it honors may pose thorny ethical questions that  Salt of the Earth  neglects to answer, it remains a shattering, thought-provoking testament to Sebastião Salgado's career."
Love & Mercy,91,,"As unconventional and unwieldy as the life and legacy it honors,  Love & Mercy  should prove moving for Brian Wilson fans while still satisfying neophytes."
The Gift,92,,"The Gift  is wickedly smart and playfully subversive, challenging the audience's expectations while leaving them leaning on the edges of their seats."
The Big Short,88,,"The Big Short  approaches a serious, complicated subject with an impressive attention to detail -- and manages to deliver a well-acted, scathingly funny indictment of its real-life villains in the bargain."
Welcome To Leith,98,,"As disturbing as it is thought-provoking,  Welcome to Leith  offers an uncomfortable -- and essential -- glimpse into a part of society many Americans would much rather ignore."
Finders Keepers,98,,"As bizarrely hilarious as it is insightful, Finders Keepers is a stranger-than-fiction gem of a documentary that transcends its oddball trappings."
Theeb,97,,"Led by an outstanding performance from Jacir Eid Al-Hwietat in the title role,  Theeb  is a startlingly assured first effort from director/co-writer Naji Abu Nowar."
Jafar Panahi's Taxi,96,,Jafar Panahi's Taxi  offers another round of trenchant societal commentary from a director whose entire filmography stands as a daring act of dissent.
Heart of a Dog,97,,"Of a piece with much of director Laurie Anderson's idiosyncratic output,  Heart of a Dog  delves into weighty themes with lyrical, haunting grace."
Hitchcock/Truffaut,96,,"Essential viewing for cineastes while still offering rich rewards for neophytes,  Hitchcock/Truffaut  offers an affectionate -- and well-crafted -- tribute to a legend."
Ex Machina,93,,"Ex Machina  leans heavier on ideas than effects, but it's still a visually polished piece of work -- and an uncommonly engaging sci-fi feature."
Amy,95,,"As riveting as it is sad,  Amy  is a powerfully honest look at the twisted relationship between art and celebrity -- and the lethal spiral of addiction."
Wild Tales,95,,"Wickedly hilarious and delightfully deranged,  Wild Tales  is a subversive satire that doubles as a uniformly entertaining anthology film."
GETT: The Trial of Viviane Amsalem,100,,"On paper,  GETT: The Trial of Viviane Amsalem  might seem less than thrilling, but on the screen, it delivers two hours of nonstop, tightly wound, brilliantly acted drama."
Phoenix,98,,"Tense, complex, and drenched in atmosphere,  Phoenix  is a well-acted, smartly crafted war drama that finds writer-director Christian Petzold working at peak power."
Timbuktu,99,,"Gracefully assembled and ultimately disquieting,  Timbuktu  is a timely film with a powerful message."
