consensus,genres,score,title
"On paper,  GETT: The Trial of Viviane Amsalem  might seem less than thrilling, but on the screen, it delivers two hours of nonstop, tightly wound, brilliantly acted drama.",,100,GETT: The Trial of Viviane Amsalem
Mustang  delivers a bracing -- and thoroughly timely -- message whose power is further bolstered by the efforts of a stellar ensemble cast.,,98,Mustang
"Listen to Me Marlon  offers a fascinating look at the inner life of a Hollywood icon, told in his own words.",,97,Listen To Me Marlon
"As riveting as it is sad,  Amy  is a powerfully honest look at the twisted relationship between art and celebrity -- and the lethal spiral of addiction.",,95,Amy
"Paddington  brings a beloved children's character into the 21st century without sacrificing his essential charm, delivering a family-friendly adventure as irresistibly cuddly as its star.",,98,Paddington
"Gracefully assembled and ultimately disquieting,  Timbuktu  is a timely film with a powerful message.",,99,Timbuktu
"Led by outstanding work from Emily Blunt and Benicio del Toro,  Sicario  is a taut, tightly wound thriller with much more on its mind than attention-getting set pieces.",,94,Sicario
"Grimly intense yet thoroughly rewarding,  Son of Saul  offers an unforgettable viewing experience -- and establishes director László Nemes as a talent to watch.",,96,Son of Saul
"Smart, thrilling, and surprisingly funny,  The Martian  offers a faithful adaptation of the bestselling book that brings out the best in leading man Matt Damon and director Ridley Scott.",,91,The Martian
Mission: Impossible Rogue Nation  continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.,,93,Mission: Impossible Rogue Nation
"Simultaneously broad and progressive,  Spy  offers further proof that Melissa McCarthy and writer-director Paul Feig bring out the best in one another -- and delivers scores of belly laughs along the way.",,94,Spy
"Led by incredible work from Brie Larson and Jacob Tremblay,  Room  makes for an unforgettably harrowing -- and undeniably rewarding -- experience.",,94,Room
"Shaped by Todd Haynes' deft direction and powered by a strong cast led by Cate Blanchett and Rooney Mara,  Carol  lives up to its groundbreaking source material.",,94,Carol
45 Years  offers richly thought-provoking rewards for fans of adult cinema -- and a mesmerizing acting showcase for leads Charlotte Rampling and Tom Courtenay.,,97,45 Years
"Smart, original, and above all terrifying,  It Follows  is the rare modern horror film that works on multiple levels -- and leaves a lingering sting.",,97,It Follows
"Warm, funny, and brilliantly animated,  Shaun the Sheep  is yet another stop-motion jewel in Aardman's family-friendly crown.",,99,Shaun the Sheep Movie
Creed  brings the  Rocky  franchise off the mat for a surprisingly effective seventh round that extends the boxer's saga in interesting new directions while staying true to its classic predecessors' roots.,,95,Creed
"Inventive, gorgeously animated, and powerfully moving,  Inside Out  is another outstanding addition to the Pixar library of modern animated classics.",,98,Inside Out
"Spotlight  gracefully handles the lurid details of its fact-based story while resisting the temptation to lionize its heroes, resulting in a drama that honors the audience as well as its real-life subjects.",,96,Spotlight
Brooklyn  buttresses outstanding performances from Saoirse Ronan and Emory Cohen with a rich period drama that tugs at the heartstrings as deftly as it satisfies the mind.,,97,Brooklyn
"Fueled by a gripping performance from David Oyelowo,  Selma  draws inspiration and dramatic power from the life and death of Martin Luther King, Jr. -- but doesn't ignore how far we remain from the ideals his work embodied.",,99,Selma
"Packed with action and populated by both familiar faces and fresh blood, The Force Awakens successfully recalls the series' former glory while injecting it with renewed energy.",,92,Star Wars: Episode VII - The Force Awakens
